pathway,category,source,what_is_free_or_conditional,eligibility_or_dependency,can_issue_legal_approval,can_issue_certification,proof_to_capture,next_action,status
USPTO Patent Pro Bono,pro_bono_legal,https://www.uspto.gov/patents/basics/using-legal-services/pro-bono/patent-pro-bono-program,Volunteer patent attorney/agent time,Income/knowledge/invention and regional intake,No,No,Application; acceptance; engagement scope,Apply only if patent work is required; do not ask for DPA review,available_if_eligible
USPTO Law School Clinic,pro_bono_legal,https://www.uspto.gov/learning-and-resources/ip-policy/public-information-about-practitioners/law-school-clinic-1,Supervised patent/trademark clinic,Participating school criteria and IP matter,Only within supervised legal scope,No,Clinic acceptance and supervised work product,Find regional clinic; keep privacy/contract scope separate,available_if_eligible
Stanford Entrepreneurship Clinic,university_clinic,https://law.stanford.edu/mills-legal-clinic/entrepreneurship-clinic/,Pro bono startup transactional assistance,Under-resourced startup/nonprofit intake; conflicts; capacity,Advice/marked drafts within engagement scope,No,Intake; engagement; final marked drafts,Submit redacted packet and ask explicitly about privacy/DPA scope,available_if_eligible
Harvard HLEP,university_clinic,https://clinics.law.harvard.edu/hlep/apply/,Pro bono supervised legal research,Harvard/MIT affiliation and cycle; research scope,Advice only within engagement scope,No,Application; match; research memo,Apply only with qualifying affiliation,available_if_eligible
Pro Bono Net/LawHelp,referral,https://www.probono.net/oppsguide/,Clinic/referral discovery,Local jurisdiction; provider capacity; means testing,Depends on matched attorney,No,Referral and accepted intake,Search entity jurisdiction and request conflicts check,available_if_eligible
SBA SBDC/SCORE,mentoring,https://www.sba.gov/local-assistance/resource-partners,Free counseling/referrals,Local provider and topic availability,No; mentor is not counsel,No,Appointment and referral notes,Use to prepare application and funding plan; redact confidential data,available
EU 2021/915 clauses,official_template,https://eur-lex.europa.eu/eli/dec_impl/2021/915/oj/eng,Official controller-processor clause text,GDPR scope; correct parties/roles/annexes,No,No,Downloaded version and counsel markup,Use only as counsel-reviewed schedule,available_as_template
EU 2021/914 SCCs,official_template,https://eur-lex.europa.eu/eli/dec_impl/2021/914/oj/eng,Official transfer clause text,Third-country transfer and TIA/counsel,No,No,Module/annex/TIA/version,Ask counsel to choose module and supplementary measures,available_as_template
CNIL GDPR toolkit,official_tooling,https://www.cnil.fr/en/my-compliance-tools/gdpr-toolkit,PIA templates and guidance,Actual processing/risk assessment,No,No,PIA version; inputs; approval record,Use for data map and risk questions,available
OpenRegulatory templates,community_template,https://github.com/openregulatory/gdpr-templates,Open templates and checklists,License/provenance/version review,No,No,Commit SHA/license/local adaptation,Use only as draft input,available_as_template
oneDPA,community_template,https://www.onenda.org/products/onedpa,Open DPA template,Current text/license and counsel review,No,No,Version/markup/counsel decision,Compare to official 2021/915 and customer requirements,available_as_template
CSA STAR Level 1,self_attestation,https://cloudsecurityalliance.org/artifacts/star-level-1-security-questionnaire-caiq-v4-1/,Free CAIQ/self-assessment route,Eligible cloud service and truthful answers,No,No,CAIQ version; submitted questionnaire; owner attestation,Complete only after system boundary and evidence are real,available_if_eligible
OpenSSF badge/Scorecard,security_signal,https://openssf.org/projects/best-practices-badge/,Free practice badge/checks,Public OSS repo and accurate project data,No,No,Repo commit; tool/version; result; badge URL,Run pinned workflow and archive result; no marketing overclaim,available
SLSA provenance,security_signal,https://slsa.dev/,Open specification/tooling,Build platform and verifiable artifact,No,No,Artifact digest; provenance predicate; builder,Generate only for real release pipeline,available_as_design
GitHub public security tools,security_signal,https://docs.github.com/en/code-security,Public-repo code/secret scanning may be free; private plan varies,GitHub repo visibility/plan/settings,No,No,Workflow/run ID; alerts; remediation,Enable only with reviewed permissions and retention,available_if_eligible
NSF SBIR/SBIR.gov,grant,https://seedfund.nsf.gov/solicitation-budget/,Competitive award may permit project-related professional costs with justification,Eligible US small business; proposal; program officer/award,No,No,Award; approved budget; invoices; allowability decision,Ask program officer before budgeting qualified counsel,conditional_not_awarded
AWS/Google/Microsoft/Cloudflare startup credits,credit,https://startup.google.com/cloud/,Conditional infrastructure benefits,Entity/domain/age/billing/provider terms,No,No,Application; award; terms; expiry; usage,Apply only if service need is real; never treat as legal funding,conditional_not_awarded
